iteration,execution_time_ms
1,2398.271083831787
2,2490.265369415283
3,2277.9483795166016
4,2314.4659996032715
5,2484.7664833068848
6,2347.221612930298
7,2404.2534828186035
8,2113.274574279785
9,2088.6070728302
10,2077.9483318328857
11,2137.3462677001953
12,2084.2080116271973
13,2094.5143699645996
14,2092.7906036376953
15,2247.2243309020996
16,2153.106451034546
17,2070.868492126465
18,2117.845058441162
19,2093.2812690734863
20,2086.3325595855713
21,2094.027042388916
22,2083.444595336914
23,2145.7886695861816
24,2108.7286472320557
25,2098.97518157959
26,2079.847812652588
27,2099.2236137390137
28,2174.6907234191895
29,2143.8546180725098
30,2104.459524154663
