iteration,execution_time_ms
1,7385.800900054164
2,7604.690799955279
3,7699.106400017627
4,6774.526899971534
5,7408.640799985733
6,7177.849800034892
7,7271.045299945399
8,7527.32770005241
9,7729.824800044298
10,7311.6519000031985
11,7905.8689000085
12,7515.905799984466
13,7936.592200014275
14,7674.607899971306
15,7171.632799960207
16,7361.3195000216365
17,7659.410400025081
18,7347.2709999768995
19,7455.195599992294
20,7403.267199988477
21,7773.436699993908
22,7620.488399988972
23,7429.8203000216745
24,7469.210600014776
25,7561.823499971069
26,7539.772699994501
27,7586.303999996744
28,7455.1101999823
29,7747.68969998695
30,7405.330800043885
31,6951.025800022762
