iteration,execution_time_ms
1,36822.87360000191
2,36589.2835999839
3,36424.11339998944
4,36245.74580002809
5,34638.98349995725
6,36117.48949997127
7,36751.74820004031
8,36023.95479998086
9,36075.92309999745
10,35775.834600033704
11,35401.91119996598
12,35723.05640002014
13,36488.65339998156
14,36821.758100006264
15,36836.66600001743
16,36688.9824999962
17,37312.97679996351
18,35834.27669998491
19,35793.91859995667
20,36259.977900015656
21,36520.64689999679
22,35461.87330002431
23,36090.510300011374
24,35732.15330002131
25,35618.86459996458
26,35981.22359998524
27,36542.72359999595
28,36930.56299997261
29,36966.44990000641
30,37589.85369995935
