iteration,execution_time_ms
1,7793.943300028332
2,7379.3112999992445
3,7418.432999984361
4,7485.909900045954
5,7306.397899985313
6,7271.817000000738
7,7547.58239997318
8,7414.907899976242
9,7843.784700031392
10,7710.464400006458
11,7380.619400006253
12,7591.712500026915
13,7613.287699990906
14,7695.1297000050545
15,7659.699700016063
16,7482.481499959249
17,8984.194199962076
18,7061.272200022358
19,7435.567099950276
20,7404.947499977425
21,7890.518300002441
22,7708.065700018778
23,7597.943599976134
24,7851.4917000429705
25,7661.873899982311
26,7741.254499997012
27,7839.440300012939
28,7716.321799962316
29,7721.2731000036
30,7663.515999971423
