iteration,execution_time_ms
1,46.45371437072754
2,49.515485763549805
3,47.29270935058594
4,47.2257137298584
5,48.00748825073242
6,46.54264450073242
7,47.69587516784668
8,45.801639556884766
9,48.006534576416016
10,47.24597930908203
11,47.41406440734863
12,48.018693923950195
13,49.31282997131348
14,49.19099807739258
15,49.28994178771973
16,49.1786003112793
17,47.644615173339844
18,49.939632415771484
19,48.081398010253906
20,50.193071365356445
21,46.54979705810547
22,47.858476638793945
23,45.975685119628906
24,47.54161834716797
25,48.16746711730957
26,49.27706718444824
27,48.46596717834473
28,46.65541648864746
29,49.5915412902832
30,49.65353012084961
31,49.80039596557617
