iteration,execution_time_ms
1,3184.5524311065674
2,2561.5999698638916
3,2504.262924194336
4,2535.7539653778076
5,2650.217056274414
6,2526.3473987579346
7,2344.312906265259
8,2244.434356689453
9,2368.016481399536
10,2368.931531906128
11,2244.1940307617188
12,2217.081069946289
13,2327.662944793701
14,2274.4877338409424
15,2222.9104042053223
16,2241.4286136627197
17,2311.300277709961
18,2361.4752292633057
19,2225.1315116882324
20,2323.404550552368
21,2357.888698577881
22,2532.6900482177734
23,2475.2235412597656
24,2334.3052864074707
25,2253.6520957946777
26,2226.303815841675
27,2217.5097465515137
28,2369.8203563690186
29,2286.238193511963
30,2350.168466567993
31,2438.8465881347656
