iteration,execution_time_ms
1,8966.434999951161
2,8814.58720000228
3,8670.442400034517
4,8672.026600048412
5,8450.259999954142
6,8397.760300023947
7,9085.447799996473
8,8836.213600006886
9,8638.243299967144
10,8795.385500008706
11,9164.168199989945
12,9234.955100051593
13,8633.146399981342
14,8490.081499970984
15,8472.2621999681
16,8426.001699990593
17,8802.442500018515
18,8609.131000004709
19,8966.599999985192
20,8803.630000038538
21,8565.331800025888
22,8435.770600044634
23,8680.001400003675
24,8613.86029998539
25,8270.77050000662
26,7290.066500019748
27,8954.94659995893
28,9324.188800004777
29,8951.181099982932
30,8578.163400001358
31,8768.328999984078
