iteration,execution_time_ms
1,37632.5310000102
2,36469.187500013504
3,36235.92549999012
4,35787.62050002115
5,36532.888900022954
6,35902.53300004406
7,36883.74970003497
8,35345.78939998755
9,35119.0061000525
10,35568.08190001175
11,35118.99370001629
12,37125.53710001521
13,36467.48980000848
14,37353.14039996592
15,36280.0864999881
16,35224.93200004101
17,36332.26679998916
18,36468.115800002124
19,37354.46190001676
20,36785.85749998456
21,36404.043500020634
22,36479.38550001709
23,36254.297800012864
24,37044.65210001217
25,36626.74870004412
26,36411.27740003867
27,35683.216299978085
28,36462.57259999402
29,36281.5447000321
30,35825.01840003533
31,36696.75579998875
