iteration,execution_time_ms
1,8428.774199972395
2,9406.261099968106
3,8655.80270002829
4,8712.622999970336
5,8929.229500005022
6,8784.10819999408
7,8339.526599971578
8,8613.042499986477
9,8670.101099996828
10,8708.704899996519
11,8158.009500009939
12,8491.04689998785
13,8596.581600024365
14,8470.467899984214
15,8391.21160004288
16,8285.860000003595
17,8513.285499997437
18,8198.70109995827
19,8633.721799997147
20,8660.9419999877
21,8215.673500031698
22,8441.993500047829
23,8157.681999960914
24,8545.065600017551
25,8493.003099982161
26,8638.481199974194
27,9120.91940001119
28,8839.530600002035
29,8738.11570001999
30,8886.542899999768
