iteration,execution_time_ms
1,487.6263999613002
2,439.5663000177592
3,417.51830000430346
4,462.61259994935244
5,401.5372999710962
6,456.24460000544786
7,437.81690002651885
8,446.162500011269
9,472.09259995725006
10,369.37130003934726
11,473.4928000252694
12,411.53620003024116
13,387.8524000174366
14,392.44179998058826
15,457.88569998694584
16,417.96070005511865
17,473.78040000330657
18,419.31010002736
19,452.02540000900626
20,475.1547999912873
21,393.42079998459667
22,528.3107000286691
23,438.0683000199497
24,414.6267999894917
25,423.4366999589838
26,409.72290001809597
27,404.86870001768693
28,627.8251999756321
29,479.34779996285215
30,464.4696000032127
