iteration,execution_time_ms
1,4309.661800041795
2,4053.109700034838
3,4203.018400003202
4,3996.181299968157
5,4041.417099942919
6,4334.684600005858
7,4426.299600047059
8,4187.623999954667
9,4428.328899957705
10,4304.937200038694
11,4368.057899991982
12,4268.02580000367
13,4498.055600037333
14,4380.601699987892
15,4257.706600008532
16,4253.149800002575
17,4356.93240002729
18,4202.830599970184
19,4416.253300034441
20,4380.381899944041
21,4216.46409999812
22,4189.296399999876
23,4164.617499976885
24,4157.745699980296
25,4108.452500018757
26,4058.6146999849007
27,4400.965399981942
28,3879.9901999882422
29,3864.4557999796234
30,4150.916800019331
31,3827.5342999841087
