iteration,execution_time_ms
1,868.971586227417
2,626.1088848114014
3,599.207878112793
4,620.3460693359375
5,602.5192737579346
6,607.0880889892578
7,603.395938873291
8,619.7414398193359
9,615.4196262359619
10,618.6769008636475
11,627.5851726531982
12,670.701265335083
13,606.712818145752
14,609.6653938293457
15,623.3797073364258
16,639.6694183349609
17,624.0346431732178
18,637.0139122009277
19,603.5830974578857
20,611.1578941345215
21,657.4530601501465
22,688.1451606750488
23,611.3708019256592
24,610.5935573577881
25,613.5444641113281
26,622.7364540100098
27,619.0979480743408
28,601.9370555877686
29,601.6333103179932
30,608.558177947998
31,635.6356143951416
