iteration,execution_time_ms
1,6.381100043654442
2,9.30289999814704
3,9.990699996706098
4,7.398999994620681
5,9.582299971953034
6,7.355300011113286
7,9.294499992392957
8,10.135499993339181
9,7.93689995771274
10,9.762999950908124
11,8.543899981305003
12,7.548499968834221
13,7.864100043661892
14,13.264200009871274
15,8.555900014471263
16,8.959600003436208
17,6.645800021942705
18,8.638300001621246
19,7.743599999230355
20,7.9910000204108655
21,7.309700013138354
22,8.272300008684397
23,6.830999976955354
24,7.291099987924099
25,8.501100004650652
26,9.014300012495369
27,8.23919998947531
28,8.241600007750094
29,8.344899979420006
30,9.140499983914196
