iteration,execution_time_ms
1,6602.554798126221
2,4697.123050689697
3,4585.2370262146
4,4664.002895355225
5,4696.108818054199
6,4577.180862426758
7,4685.105323791504
8,4607.2070598602295
9,4623.7757205963135
10,4699.918746948242
11,4609.527349472046
12,4696.948766708374
13,4592.824459075928
14,4813.169002532959
15,4665.966987609863
16,4553.028106689453
17,4590.37971496582
18,4665.201187133789
19,4657.923221588135
20,4606.575727462769
21,4668.32160949707
22,4554.068803787231
23,4683.375597000122
24,4565.116167068481
25,4648.254156112671
26,4759.396553039551
27,4628.0224323272705
28,4593.552112579346
29,4772.248983383179
30,4596.275568008423
31,4677.489757537842
