iteration,execution_time_ms
1,10096.324899990577
2,10017.897900019307
3,10286.464200005867
4,9913.654099975247
5,10116.236300033052
6,9944.240100041497
7,10259.496600017883
8,9947.278500010725
9,10122.092299978249
10,9829.806399997324
11,10225.348100007977
12,9851.512899971567
13,10137.856199988164
14,9846.197700011544
15,10317.78540002415
16,9989.408299967181
17,10079.453200043645
18,9987.286999996286
19,10379.622699983884
20,10153.529299946968
21,10152.594099985436
22,9900.297600019258
23,10229.985499987379
24,9841.152199951466
25,10115.739199973177
26,10070.119399984833
27,9910.201099992264
28,10075.615200039465
29,9961.308899975847
30,10075.107800017577
