iteration,execution_time_ms
1,11103.485899977386
2,10335.471099999268
3,10278.687899990473
4,10169.543399999384
5,10165.36929999711
6,10293.445599963889
7,10392.384700011462
8,10523.427400039509
9,10080.962200008798
10,10237.686600012239
11,10211.933000013232
12,10208.711599989329
13,9948.511799972039
14,10135.06130001042
15,10076.81140000932
16,10183.104399999138
17,10095.56479996536
18,10054.55289996462
19,10097.752000030596
20,10086.268100014422
21,10125.477400026284
22,9871.222599991597
23,10132.800900028087
24,9966.678800003137
25,10141.963000001851
26,10081.431299971882
27,10177.47260001488
28,10286.76730004372
29,10153.413499996532
30,9978.954799997155
31,10158.82860001875
