iteration,execution_time_ms
1,9868.561200040858
2,9723.060799995437
3,9603.465399995912
4,9731.393499998376
5,9694.024099968374
6,9803.584999986924
7,9773.783899960108
8,9941.909399989527
9,9707.314800005406
10,9788.94419997232
11,9885.044200054836
12,9807.116000039969
13,9806.61950004287
14,9829.916699964087
15,9745.371499971952
16,9765.009800030384
17,9813.598999986425
18,9625.78379997285
19,9714.58219998749
20,9641.107200004626
21,9742.941999982577
22,9660.846300015692
23,9647.239400015678
24,9844.899600022472
25,9651.610100001562
26,9744.865700020455
27,9746.416200010572
28,9848.610499990173
29,9792.51480003586
30,9856.798399996478
31,9794.844700023532
