iteration,execution_time_ms
1,8581.968799990136
2,8130.790099967271
3,7890.44810004998
4,8294.75270002149
5,8493.47669997951
6,8119.732599996496
7,8311.679899983574
8,8521.253100014292
9,8445.3640000429
10,8555.089199973736
11,8388.862599967979
12,8512.352399993688
13,8605.873699998483
14,8544.151000038255
15,8488.39479999151
16,8406.65280004032
17,8463.05790002225
18,8310.267900000326
19,8506.618200044613
20,8543.791400035843
21,8608.08790003648
22,8606.275999976788
23,8551.378300006036
24,8146.522400027607
25,8120.702599990182
26,7950.044099998195
27,7504.17450000532
28,7266.575999965426
29,7727.593999996316
30,8121.128400031012
31,8343.460600008257
