iteration,execution_time_ms
1,1424.7219562530518
2,1063.060998916626
3,1040.0464534759521
4,1037.8978252410889
5,1058.5408210754395
6,1036.4136695861816
7,1080.1503658294678
8,1064.4397735595703
9,1089.2682075500488
10,1038.4926795959473
11,1058.3765506744385
12,1067.521095275879
13,1030.1637649536133
14,1035.2158546447754
15,1036.9527339935303
16,1064.6476745605469
17,1063.9309883117676
18,1074.4829177856445
19,1077.880620956421
20,1046.959400177002
21,1060.0948333740234
22,1114.368200302124
23,1062.7012252807617
24,1083.2688808441162
25,1055.2539825439453
26,1047.7712154388428
27,1039.0655994415283
28,1089.0648365020752
29,1151.9136428833008
30,1081.3205242156982
31,1081.087350845337
