iteration,execution_time_ms
1,228.12469996279106
2,201.13950001541525
3,229.155000008177
4,216.5787999983877
5,204.5761999906972
6,248.3240999863483
7,245.43559999438003
8,229.68639997998253
9,225.489100033883
10,192.49059999128804
11,251.46639999002218
12,227.76670003077015
13,214.65790004003793
14,235.4030999704264
15,214.4986999919638
16,239.39220001921058
17,240.0772999972105
18,193.20320000406355
19,204.66039999155328
20,178.95259999204427
21,199.82019998133183
22,194.40999999642372
23,210.1128000067547
24,208.19879998452961
25,198.97850003326312
26,187.36089998856187
27,212.9055000259541
28,224.3243000120856
29,224.16029998566955
30,239.17830002028495
