iteration,execution_time_ms
1,340.8389091491699
2,331.6786289215088
3,336.8690013885498
4,352.9243469238281
5,324.8569965362549
6,323.9924907684326
7,320.7066059112549
8,329.1475772857666
9,322.8440284729004
10,327.41451263427734
11,334.20729637145996
12,340.46053886413574
13,321.7158317565918
14,330.4924964904785
15,329.0672302246094
16,325.192928314209
17,329.3008804321289
18,349.13015365600586
19,327.7146816253662
20,331.89916610717773
21,329.07557487487793
22,323.26364517211914
23,325.03700256347656
24,328.41014862060547
25,322.786808013916
26,327.864408493042
27,331.7387104034424
28,324.3584632873535
29,327.97932624816895
30,325.93321800231934
