iteration,execution_time_ms
1,405.46345710754395
2,328.68480682373047
3,319.7202682495117
4,332.7763080596924
5,331.0871124267578
6,406.15177154541016
7,321.5796947479248
8,326.5032768249512
9,328.84883880615234
10,323.3773708343506
11,315.1369094848633
12,321.2542533874512
13,333.416223526001
14,339.83516693115234
15,319.9348449707031
16,330.14678955078125
17,324.05638694763184
18,331.17175102233887
19,339.3409252166748
20,358.34717750549316
21,332.1647644042969
22,333.636999130249
23,322.4291801452637
24,330.95765113830566
25,328.7503719329834
26,330.7228088378906
27,319.31209564208984
28,321.47741317749023
29,321.14696502685547
30,372.2269535064697
31,344.9056148529053
