iteration,execution_time_ms
1,1045.5315113067627
2,1055.3221702575684
3,1034.2216491699219
4,1040.6036376953125
5,1031.8183898925781
6,1087.3122215270996
7,1035.0115299224854
8,1069.7832107543945
9,1038.63525390625
10,1034.358024597168
11,1029.2670726776123
12,1035.4483127593994
13,1069.9167251586914
14,1039.4659042358398
15,1060.3280067443848
16,1040.2500629425049
17,1031.8162441253662
18,1039.6044254302979
19,1042.8004264831543
20,1033.2183837890625
21,1067.509651184082
22,1054.5783042907715
23,1080.7576179504395
24,1041.5773391723633
25,1055.448293685913
26,1041.9623851776123
27,1039.8333072662354
28,1095.9513187408447
29,1033.6508750915527
30,1061.7730617523193
