iteration,execution_time_ms
1,11435.932199994568
2,11525.865799980238
3,11629.563900001813
4,11440.095400030259
5,11958.476900006644
6,11477.950100030284
7,12014.71879996825
8,11870.448300032876
9,11431.126000010408
10,11227.890799986199
11,10943.939800024964
12,10990.250900038518
13,10593.363500025589
14,11137.053200043738
15,11168.588500004262
16,11767.027300025802
17,11830.251099949237
18,11747.836900001857
19,12188.718500023242
20,11871.366099978331
21,11654.301500006113
22,12008.706000051461
23,11940.120099985506
24,12074.846400006209
25,11974.439700017683
26,11841.446899983566
27,11288.796600012574
28,12120.82549999468
29,12243.711899966002
30,11724.476100003812
