iteration,execution_time_ms
1,2582.4993000132963
2,2609.1676999931224
3,2557.094199990388
4,2589.1868000035174
5,2551.163299998734
6,2612.8124999813735
7,2535.1344000082463
8,2488.33859997103
9,2511.016500007827
10,2621.3724999688566
11,2562.975400011055
12,2568.703600030858
13,2473.4504999942146
14,2567.5092000165023
15,2600.353099987842
16,2571.6860000393353
17,2533.613100007642
18,2489.085699955467
19,2498.5556000028737
20,2619.3360000033863
21,2527.388200047426
22,2575.002600031439
23,2456.4608999644406
24,2566.867599962279
25,2614.5290000131354
26,2563.7272000312805
27,2495.7340999972075
28,2577.023400051985
29,2564.6832000347786
30,2579.607300052885
31,2513.1478999974206
