iteration,execution_time_ms
1,1230.5243999580853
2,1062.202300003264
3,1034.235599974636
4,1080.3720999974757
5,1143.4067000518553
6,1088.9140999643132
7,1078.2970000291243
8,1014.7099000168964
9,1154.3091999483295
10,1074.2870999965817
11,1089.4911999930628
12,1204.256400000304
13,1203.7797000375576
14,1141.0562000237405
15,1051.2237999937497
16,1136.402799980715
17,1100.7765000103973
18,1174.3196999887004
19,874.687300005462
20,1187.3185000149533
21,1195.7935999962501
22,1151.5495000057854
23,1152.4388000252657
24,1120.4234999604523
25,1145.552099973429
26,1097.3499999963678
27,1220.1231000362895
28,1193.7059999909252
29,1168.0245000170544
30,1156.5841999836266
31,1188.281900016591
