iteration,execution_time_ms
1,2389.8439407348633
2,2403.4106731414795
3,2413.1710529327393
4,2422.428607940674
5,2403.3100605010986
6,2437.753915786743
7,2440.4125213623047
8,2435.4918003082275
9,2412.713050842285
10,2465.991973876953
11,2445.274591445923
12,2403.6552906036377
13,2418.6460971832275
14,2439.056873321533
15,2424.44109916687
16,2407.4363708496094
17,2441.702365875244
18,2465.320825576782
19,2410.8786582946777
20,2437.6652240753174
21,2520.8327770233154
22,2522.671699523926
23,2449.8298168182373
24,2452.838897705078
25,2454.3230533599854
26,2439.342737197876
27,2432.4512481689453
28,2463.860511779785
29,2467.7631855010986
30,2384.896993637085
