iteration,execution_time_ms
1,8.237500034738332
2,6.746299972292036
3,6.940299994312227
4,6.583500013221055
5,7.24499998614192
6,7.951100007630885
7,7.017299998551607
8,6.9979000254534185
9,7.4059999897144735
10,7.014099974185228
11,6.638299964834005
12,6.930300034582615
13,7.833899988327175
14,7.455799961462617
15,7.130900048650801
16,8.149400004185736
17,8.58590001007542
18,7.378100010100752
19,8.398499980103225
20,6.974599964451045
21,6.877399981021881
22,6.987800006754696
23,7.009599998127669
24,10.633199999574572
25,8.010599995031953
26,6.731699977535754
27,8.962100022472441
28,8.536599983926862
29,6.9154000375419855
30,7.480200030840933
31,7.2818000335246325
