iteration,execution_time_ms
1,252.06780002918094
2,231.4881999627687
3,267.5475000287406
4,213.97079998860136
5,247.1460999804549
6,250.74739998672158
7,210.807700001169
8,209.09519999986514
9,220.642099971883
10,250.39589998777956
11,232.99009999027476
12,202.85110000986606
13,229.64169998886064
14,205.99460002267733
15,258.67379998089746
16,219.64200004003942
17,210.1054000086151
18,236.47110001184046
19,198.82200000574812
20,258.29290004912764
21,189.65110002318397
22,237.8249000175856
23,211.29549999022856
24,258.73920001322404
25,231.88089998438954
26,259.8732000333257
27,259.34519997099414
28,271.32060000440106
29,255.33469999209046
30,261.4213000051677
31,243.8755999901332
