iteration,execution_time_ms
1,18080.66840004176
2,17896.41489996575
3,17588.595899986103
4,17553.116199967917
5,17609.39200001303
6,17670.67289998522
7,17778.62830000231
8,17474.89610000048
9,17733.388699998613
10,17967.67909999471
11,17800.2400000114
12,17875.617699988652
13,17617.53609997686
14,17540.308099996764
15,17808.23369999416
16,17643.450199975632
17,17025.606999988668
18,17488.722999987658
19,17241.51909997454
20,18056.16540001938
21,18060.126599972136
22,18338.104100024793
23,17818.605600041337
24,17280.965999991167
25,17381.60390005214
26,17102.816400001757
27,17845.997199998237
28,17319.391900033224
29,17621.770899975672
30,17191.12440000754
