iteration,execution_time_ms
1,139.76970000658184
2,7.5456000049598515
3,8.219999959692359
4,6.655499979387969
5,7.346800004597753
6,7.047200051601976
7,8.18150001578033
8,6.954600044991821
9,7.626499980688095
10,7.053700042888522
11,36.64790000766516
12,6.866700015962124
13,8.47309996606782
14,7.307100051548332
15,7.640399970114231
16,7.454400009009987
17,7.003300008364022
18,8.314999984577298
19,7.001400052104145
20,8.51169996894896
21,8.28069995623082
22,8.700700011104345
23,7.978100038599223
24,8.285399992018938
25,8.232300053350627
26,7.255099946632981
27,11.332000023685396
28,6.982300023082644
29,8.4021000075154
30,7.234299962874502
31,6.730599969159812
