iteration,execution_time_ms
1,729.5771000208333
2,622.4631000077352
3,616.3938000099733
4,705.2530000219122
5,604.6618999680504
6,722.0732000423595
7,729.1326000122353
8,754.7355000278912
9,703.0021999962628
10,743.8691999996081
11,744.9185000150464
12,675.3061999916099
13,658.3089000196196
14,699.7929000062868
15,711.0981000005268
16,739.1758000012487
17,746.1119999643415
18,742.1487999963574
19,797.0311000244692
20,711.2866999814287
21,677.8967999853194
22,734.323900018353
23,734.5773999695666
24,631.035000027623
25,695.7012999919243
26,632.8800999908708
27,738.4397000423633
28,685.2528000017628
29,614.789400016889
30,728.5716999904253
