iteration,execution_time_ms
1,6509.617500007153
2,6234.122800000478
3,6059.956199955195
4,6225.154899992049
5,6317.052100028377
6,6282.116600021254
7,6035.117799998261
8,5967.42489997996
9,6122.178799996618
10,6064.83309995383
11,6372.883100004401
12,6061.49309995817
13,6149.564600025769
14,6144.342300016433
15,6183.715600054711
16,5949.968400003854
17,6265.00140002463
18,6354.9470999860205
19,6056.806700013112
20,5622.339499997906
21,6104.403899982572
22,6118.949699972291
23,6121.115599991754
24,6252.740999974776
25,6121.522000001278
26,6347.657500009518
27,6296.190200024284
28,6198.432500008494
29,6259.829999995418
30,6153.35189999314
31,6191.228999989107
