iteration,execution_time_ms
1,887.8180980682373
2,895.1923847198486
3,890.3722763061523
4,902.6944637298584
5,895.460844039917
6,897.956132888794
7,895.3511714935303
8,893.9743041992188
9,900.0775814056396
10,892.3439979553223
11,894.2975997924805
12,892.5845623016357
13,938.3363723754883
14,901.0136127471924
15,954.1895389556885
16,900.6896018981934
17,905.6670665740967
18,898.3407020568848
19,902.5223255157471
20,897.9232311248779
21,938.0323886871338
22,926.1636734008789
23,921.6816425323486
24,888.3094787597656
25,899.2006778717041
26,919.2016124725342
27,948.3301639556885
28,937.4217987060547
29,905.5945873260498
30,921.7309951782227
