iteration,execution_time_ms
1,133159.74140004255
2,135838.76270003384
3,130698.20370001253
4,135074.2642999976
5,132252.71319999592
6,136753.01769998623
7,134067.81129998853
8,134011.2436999916
9,134123.27649997314
10,133875.20560005214
11,135894.7307000053
12,132570.75150002493
13,134215.1867999928
14,130908.66840002127
15,134176.4212999842
16,136934.19559998438
17,129457.84679998178
18,133949.4186999509
19,133101.99369996553
20,135878.42299998738
21,133563.1620999775
22,131942.2452999861
23,133745.1286999858
24,133460.9096000204
25,138062.0348000084
26,131768.31250003306
27,131257.64229998458
28,129339.84309999505
29,133076.50830002967
30,132218.55190000497
