iteration,execution_time_ms
1,133885.84880001144
2,129247.521399986
3,130380.5382999708
4,134350.48349999124
5,135875.17379998462
6,136473.4947999823
7,133722.2686999594
8,138227.849399962
9,126842.39260002505
10,129982.09149995819
11,130621.47930002538
12,130700.06850000937
13,131553.1772999675
14,135627.33789999038
15,138441.3232000079
16,133032.02770004282
17,135810.36999996286
18,130129.89779998315
19,130000.28969999403
20,132586.85099997092
21,134563.24260000838
22,135345.9908000077
23,135205.0051999977
24,140164.98399997363
25,135274.87009996548
26,135910.0048999535
27,134668.1149000069
28,133649.37729999656
29,133683.43710002955
30,128272.95389998471
31,130868.62329998985
