iteration,execution_time_ms
1,7354.787099990062
2,7335.874799988233
3,7412.938199995551
4,7395.970900019165
5,7268.545800005086
6,7276.163600035943
7,7307.033099990804
8,7331.1529999482445
9,7347.011499979999
10,7221.451100020204
11,7375.390500004869
12,7250.036199984606
13,7350.5675999913365
14,7304.469099966809
15,7334.3765999889
16,7313.414700038265
17,7289.181699976325
18,7294.21339998953
19,7317.477599950507
20,7293.1228000088595
21,7411.205999960657
22,7260.089299990796
23,7348.05700002471
24,7248.806299990974
25,7302.071199985221
26,7275.6280999747105
27,7348.690700018778
28,7396.40640001744
29,7345.083599968348
30,7332.375099998899
