iteration,execution_time_ms
1,19494.711875915527
2,8095.651626586914
3,8183.899879455566
4,8353.039264678955
5,8239.535093307495
6,8193.5133934021
7,8148.8354206085205
8,8124.924182891846
9,8041.969299316406
10,8072.375774383545
11,8426.992893218994
12,8107.165098190308
13,8240.974426269531
14,8220.277070999146
15,8159.414291381836
16,8097.926378250122
17,8052.849531173706
18,8351.64737701416
19,8168.735027313232
20,8196.301221847534
21,8059.443712234497
22,8076.5533447265625
23,7957.988023757935
24,8076.514482498169
25,7981.419801712036
26,8367.338180541992
27,8152.233600616455
28,8015.158891677856
29,8127.123832702637
30,8062.0293617248535
31,8088.940143585205
